Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
6962181067,2016-04-02,1,399,415
6962181067,2016-04-03,2,900,967
6962181067,2016-04-05,2,819,894
6962181067,2016-04-06,1,416,423
6962181067,2016-04-07,1,422,424
6962181067,2016-04-09,2,434,455
6962181067,2016-04-10,2,807,835
6962181067,2016-04-12,1,366,387
7007744171,2016-03-14,1,87,88
7007744171,2016-03-24,1,62,67
7007744171,2016-03-26,1,57,64
7007744171,2016-03-30,1,63,64
7007744171,2016-04-02,1,56,69
7007744171,2016-04-03,1,70,73
7007744171,2016-04-05,1,66,70
7007744171,2016-04-07,1,63,66
7086361926,2016-03-12,2,557,567
7086361926,2016-03-13,1,401,416
7086361926,2016-03-14,1,425,434
7086361926,2016-03-16,2,800,827
7086361926,2016-03-20,1,460,466
7086361926,2016-03-21,1,521,535
7086361926,2016-03-23,1,440,459
7086361926,2016-03-25,1,281,288
7086361926,2016-03-26,1,311,329
7086361926,2016-03-27,1,68,69
7086361926,2016-03-28,1,610,642
7086361926,2016-03-29,1,466,503
7086361926,2016-03-30,2,453,492
7086361926,2016-03-31,2,815,847
7086361926,2016-04-01,1,566,603
7086361926,2016-04-05,1,482,494
7086361926,2016-04-06,1,461,472
7086361926,2016-04-07,1,492,511
7086361926,2016-04-09,1,466,487
7086361926,2016-04-10,1,429,441
7086361926,2016-04-11,1,514,525
8053475328,2016-03-29,1,498,501
8378563200,2016-03-11,1,558,590
8378563200,2016-03-12,2,453,530
8378563200,2016-03-13,2,415,451
8378563200,2016-03-14,1,364,398
8378563200,2016-03-15,1,480,521
8378563200,2016-03-17,2,823,887
8378563200,2016-03-18,2,591,618
8378563200,2016-03-19,1,469,505
8378563200,2016-03-21,2,667,698
8378563200,2016-03-22,2,448,481
8378563200,2016-03-23,1,348,382
8378563200,2016-03-24,1,429,448
8378563200,2016-03-25,1,66,71
8378563200,2016-03-26,3,1030,1116
8378563200,2016-03-27,1,351,365
8378563200,2016-03-28,1,425,453
8378563200,2016-03-29,1,441,467
8378563200,2016-03-30,2,451,489
8378563200,2016-03-31,2,435,462
8378563200,2016-04-01,2,382,413
8378563200,2016-04-02,3,769,831
8378563200,2016-04-03,1,362,384
8378563200,2016-04-04,1,417,436
8378563200,2016-04-05,2,417,442
8378563200,2016-04-06,2,399,423
8378563200,2016-04-07,3,457,489
8378563200,2016-04-08,1,251,282
8378563200,2016-04-09,2,215,277
8378563200,2016-04-10,2,802,846
8378563200,2016-04-11,1,338,356
8792009665,2016-03-27,1,391,420
8792009665,2016-03-28,1,389,407
8792009665,2016-03-29,1,196,205
8792009665,2016-03-30,2,442,459
8792009665,2016-04-01,2,480,504
8792009665,2016-04-03,1,479,517
8792009665,2016-04-04,2,566,595
8792009665,2016-04-05,1,384,414
8792009665,2016-04-06,1,427,463
8792009665,2016-04-07,1,446,475
8792009665,2016-04-08,2,424,447
8792009665,2016-04-09,3,601,638
